n,e*log(n),n,e*log(n) <= n
1.0000,0.0000,1.0000,Si
1.0010,0.0027,1.0010,Si
1.0020,0.0054,1.0020,Si
1.0030,0.0081,1.0030,Si
1.0040,0.0109,1.0040,Si
1.0050,0.0136,1.0050,Si
1.0060,0.0163,1.0060,Si
1.0070,0.0190,1.0070,Si
1.0080,0.0217,1.0080,Si
1.0090,0.0244,1.0090,Si
1.0100,0.0270,1.0100,Si
1.0110,0.0297,1.0110,Si
1.0120,0.0324,1.0120,Si
1.0130,0.0351,1.0130,Si
1.0140,0.0378,1.0140,Si
1.0150,0.0405,1.0150,Si
1.0160,0.0431,1.0160,Si
1.0170,0.0458,1.0170,Si
1.0180,0.0485,1.0180,Si
1.0190,0.0512,1.0190,Si
1.0200,0.0538,1.0200,Si
1.0210,0.0565,1.0210,Si
1.0220,0.0592,1.0220,Si
1.0230,0.0618,1.0230,Si
1.0240,0.0645,1.0240,Si
1.0250,0.0671,1.0250,Si
1.0260,0.0698,1.0260,Si
1.0270,0.0724,1.0270,Si
1.0280,0.0751,1.0280,Si
1.0290,0.0777,1.0290,Si
1.0300,0.0803,1.0300,Si
1.0310,0.0830,1.0310,Si
1.0320,0.0856,1.0320,Si
1.0330,0.0883,1.0330,Si
1.0340,0.0909,1.0340,Si
1.0350,0.0935,1.0350,Si
1.0360,0.0961,1.0360,Si
1.0370,0.0988,1.0370,Si
1.0380,0.1014,1.0380,Si
1.0390,0.1040,1.0390,Si
1.0400,0.1066,1.0400,Si
1.0410,0.1092,1.0410,Si
1.0420,0.1118,1.0420,Si
1.0430,0.1144,1.0430,Si
1.0440,0.1170,1.0440,Si
1.0450,0.1197,1.0450,Si
1.0460,0.1223,1.0460,Si
1.0470,0.1248,1.0470,Si
1.0480,0.1274,1.0480,Si
1.0490,0.1300,1.0490,Si
1.0500,0.1326,1.0500,Si
1.0510,0.1352,1.0510,Si
1.0520,0.1378,1.0520,Si
1.0530,0.1404,1.0530,Si
1.0540,0.1430,1.0540,Si
1.0550,0.1455,1.0550,Si
